N° de ligne,Code Commande,Conforme RoHS ?,Votre référence produit,Remarques,Qté :,Référence Fabricant,Nom du fabricant,Fabricant / Description,Disponibilité,Prix unitaire (&euro;),Prix (&euro;),Prix avec remise (&euro;)
1,1750205,Directive RoHS: YES / PHTALATES: YES,,,5.0,"TL431AIDT",STMICROELECTRONICS,"STMICROELECTRONICS  Référence de tension, Shunt - Ajustable, Série TL431, 2.495V à 36V, SOIC-8",4809,0.2140,1.07,,
2,4710269,Directive RoHS: NO / PHTALATES: NO,,,5.0,"BC547C",DIOTEC SEMICONDUCTOR,"DIOTEC SEMICONDUCTOR  Transistor simple bipolaire (BJT), NPN, 45 V, 100 mA, 500 mW, TO-92, Traversant",3974,0.1170,0.59,,

,,,,,,,Sous-total,&euro;1.66
,,,,,,,Total des marchandises,&euro;1.66
,,,,,,,Livraison,&euro;11.99
,,,,,,,TVA,&euro;2.73
,,,,,,,Total,&euro;16.37
